SGG_CD,SGG_NM,BJDONG_CD,BJDONG_NM,BOBN,BUBN,FLR_NO,CNTRCT_DE,RENT_GBN,RENT_AREA,RENT_GTN,RENT_FEE,BLDG_NM,BUILD_YEAR,HOUSE_GBN_NM
11710,송파구,11400,마천동,0180,0013,4.0,2023-01-31,월세,28.03,5000,55,아성플러스,2015,연립다세대
11710,송파구,10700,가락동,0132,0001,2.0,2023-01-31,전세,29.96,24500,0,아이리스,2015,연립다세대
11140,중구,16200,신당동,0405,0005,4.0,2023-01-31,월세,28.85,3000,140,아이리스신당,2022,연립다세대
11380,은평구,11400,진관동,0100,0003,4.0,2023-01-31,월세,24.54,1000,54,아이파크 포레스트 게이트,2013,오피스텔
11650,서초구,10200,양재동,0379,0006,1.0,2023-01-31,전세,56.62,29400,0,양재화이트빌라,1996,연립다세대
11380,은평구,10200,녹번동,0083,0048,4.0,2023-01-31,전세,55.8,20000,0,양지베르빌,2008,연립다세대
11380,은평구,10700,응암동,0081,0051,6.0,2023-01-31,전세,27.65,25000,0,양지스카이뷰,2020,연립다세대
11380,은평구,10700,응암동,0081,0051,5.0,2023-01-31,전세,27.89,24000,0,양지스카이뷰,2020,연립다세대
11560,영등포구,12700,양평동3가,0101,0000,14.0,2023-01-31,전세,59.98,42500,0,양평현대6차,2000,아파트
11560,영등포구,10300,영등포동2가,0028,0109,2.0,2023-01-31,월세,18.53,16000,4,어반홈즈,2021,오피스텔
11305,강북구,10300,수유동,0245,0153,4.0,2023-01-31,월세,50.86,5000,130,어반휴A동,2022,연립다세대
11260,중랑구,10400,묵동,0171,0017,5.0,2023-01-31,월세,12.04,1000,35,어울림,2014,연립다세대
11305,강북구,10100,미아동,1353,0000,1.0,2023-01-31,전세,84.76,33000,0,에스케이북한산시티,2004,아파트
11305,강북구,10100,미아동,1353,0000,15.0,2023-01-31,전세,114.85,39000,0,에스케이북한산시티,2004,아파트
11350,노원구,10500,상계동,0363,0005,4.0,2023-01-31,전세,38.62,24500,0,에이원빌리지,2021,연립다세대
11305,강북구,10300,수유동,0740,0000,17.0,2023-01-31,월세,22.58,5000,68,에피소드 수유 838,2021,오피스텔
11590,동작구,10700,사당동,1007,0003,9.0,2023-01-31,월세,21.79,10000,28,엘리지움,2012,오피스텔
11710,송파구,10800,문정동,0070,0003,4.0,2023-01-31,전세,58.45,31500,0,엘림빌,2005,연립다세대
11215,광진구,10100,중곡동,0190,0029,2.0,2023-01-31,월세,54.13,5000,160,엘림퍼스트중곡동,2021,아파트
11530,구로구,10700,개봉동,0137,0002,3.0,2023-01-31,월세,55.98,3530,26,"엘림하우스가,나동",2018,연립다세대
11500,강서구,10300,화곡동,0409,0162,3.0,2023-01-31,월세,27.35,4000,30,엘에스빌,2016,연립다세대
11680,강남구,11200,자곡동,0621,0000,10.0,2023-01-31,월세,46.01,8990,16,엘에이치강남3단지,2013,아파트
11260,중랑구,10300,중화동,0325,0093,4.0,2023-01-31,전세,57.06,41000,0,엠-클래스,2022,연립다세대
11560,영등포구,10200,영등포동1가,0113,0001,8.0,2023-01-31,전세,16.88,13400,0,여의도씨티아이,2013,오피스텔
11560,영등포구,10200,영등포동1가,0092,0003,4.0,2023-01-31,전세,18.89,23500,0,여의도이튼브라운,2022,아파트
11560,영등포구,10400,영등포동3가,0024,0006,7.0,2023-01-31,전세,37.9,26000,0,여의시티파크 A동,2020,오피스텔
11680,강남구,10100,역삼동,0826,0029,11.0,2023-01-31,전세,57.98,50000,0,역삼동우정에쉐르1,2004,아파트
11680,강남구,10100,역삼동,0719,0024,10.0,2023-01-31,전세,17.57,21600,0,역삼역센트럴푸르지오시티,2019,오피스텔
11500,강서구,10100,염창동,0306,0000,7.0,2023-01-31,전세,84.91,57000,0,염창힐스테이트,2009,아파트
11620,관악구,10200,신림동,0102,0059,1.0,2023-01-31,전세,41.28,15000,0,영동빌라,1991,연립다세대
11560,영등포구,11800,도림동,0821,0000,11.0,2023-01-31,월세,40.06,1163,22,영등포아트자이,2014,아파트
11740,강동구,10800,성내동,0593,0000,7.0,2023-01-31,전세,54.93,36000,0,영풍마드레빌,2002,아파트
11320,도봉구,10700,창동,0480,0011,4.0,2023-01-31,전세,22.22,9000,0,예림벨로체(480-11),2013,연립다세대
11590,동작구,10700,사당동,0183,0010,4.0,2023-01-31,전세,28.62,18300,0,예성휴캐슬(183-10),2013,연립다세대
11140,중구,15400,오장동,0145,0001,15.0,2023-01-31,전세,15.79,20000,0,오렌지카운티을지로,2020,아파트
11140,중구,15400,오장동,0139,0007,5.0,2023-01-31,전세,18.12,21000,0,오장동 오팰리오,2021,오피스텔
11530,구로구,10200,구로동,0810,0000,3.0,2023-01-31,전세,17.93,7250,0,오피스텔 미래지오,2004,오피스텔
11710,송파구,11100,방이동,0089,0000,9.0,2023-01-31,전세,100.31,73000,0,올림픽선수기자촌2단지,1988,아파트
11710,송파구,10800,문정동,0150,0000,14.0,2023-01-31,월세,84.75,30000,100,올림픽훼밀리타운,1988,아파트
11620,관악구,10100,봉천동,0635,0343,5.0,2023-01-31,전세,24.36,24000,0,와이즈힐(635-343),2020,연립다세대
11230,동대문구,10200,용두동,0794,0000,6.0,2023-01-31,전세,59.99,49000,0,용두롯데캐슬리치,2015,아파트
11170,용산구,11100,청파동3가,0080,0006,5.0,2023-01-31,전세,17.87,19000,0,용산 다올 노블리움,2020,오피스텔
11560,영등포구,13200,신길동,0458,0028,2.0,2023-01-31,전세,49.78,23000,0,우강빌리지(458-28),2001,연립다세대
11260,중랑구,10600,신내동,0831,0000,6.0,2023-01-31,월세,31.85,6480,14,우디안4단지,2018,아파트
11530,구로구,10200,구로동,1277,0000,10.0,2023-01-31,전세,59.45,32000,0,우리유앤미,2004,아파트
11680,강남구,10100,역삼동,0706,0010,6.0,2023-01-31,전세,23.9,20000,0,우림루미아트2,2003,아파트
11500,강서구,10200,등촌동,0649,0014,6.0,2023-01-31,전세,27.36,14500,0,우림보보카운티뷰,2004,오피스텔
11500,강서구,10200,등촌동,0649,0014,10.0,2023-01-31,월세,27.36,1000,60,우림보보카운티뷰,2004,오피스텔
11530,구로구,10200,구로동,0642,0046,1.0,2023-01-31,전세,84.9,35000,0,우방,1993,아파트
11650,서초구,10200,양재동,0154,0002,14.0,2023-01-31,월세,84.88,20000,200,우성,1991,아파트
11590,동작구,10900,신대방동,0565,0000,15.0,2023-01-31,월세,126.16,43000,90,우성1,1988,아파트
11500,강서구,10500,마곡동,0739,0002,6.0,2023-01-31,월세,20.24,500,48,우성르보아투,2015,오피스텔
11305,강북구,10400,우이동,0181,0002,2.0,2023-01-31,전세,149.98,30500,0,우이빌라맨숀,1983,연립다세대
11500,강서구,10300,화곡동,0926,0009,8.0,2023-01-31,월세,13.78,2500,16,우현스카이빌(926-9),2013,아파트
11500,강서구,10300,화곡동,0343,0043,9.0,2023-01-31,월세,18.84,3000,55,원타워(343-43),2014,아파트
11290,성북구,13600,하월곡동,0226,0000,3.0,2023-01-31,전세,84.88,44000,0,월곡래미안루나밸리,2007,아파트
11710,송파구,11300,거여동,0648,0000,17.0,2023-01-31,전세,74.78,37406,0,위례포레샤인18단지,2020,아파트
11710,송파구,11300,거여동,0648,0000,8.0,2023-01-31,전세,74.78,37406,0,위례포레샤인18단지,2020,아파트
11710,송파구,11300,거여동,0648,0000,17.0,2023-01-31,전세,74.82,37406,0,위례포레샤인18단지,2020,아파트
11710,송파구,11300,거여동,0648,0000,7.0,2023-01-31,전세,74.82,37406,0,위례포레샤인18단지,2020,아파트
11710,송파구,11300,거여동,0648,0000,6.0,2023-01-31,전세,74.82,37406,0,위례포레샤인18단지,2020,아파트
11710,송파구,11300,거여동,0648,0000,15.0,2023-01-31,전세,74.82,37406,0,위례포레샤인18단지,2020,아파트
11710,송파구,11300,거여동,0648,0000,8.0,2023-01-31,전세,74.82,37496,0,위례포레샤인18단지,2020,아파트
11710,송파구,11300,거여동,0648,0000,1.0,2023-01-31,전세,74.82,37406,0,위례포레샤인18단지,2020,아파트
11710,송파구,11300,거여동,0648,0000,5.0,2023-01-31,전세,74.82,37406,0,위례포레샤인18단지,2020,아파트
11710,송파구,11300,거여동,0648,0000,12.0,2023-01-31,전세,74.82,37406,0,위례포레샤인18단지,2020,아파트
11710,송파구,11300,거여동,0648,0000,9.0,2023-01-31,전세,84.66,39768,0,위례포레샤인18단지,2020,아파트
11710,송파구,11300,거여동,0648,0000,11.0,2023-01-31,전세,84.66,41756,0,위례포레샤인18단지,2020,아파트
11710,송파구,11300,거여동,0648,0000,6.0,2023-01-31,전세,84.67,39768,0,위례포레샤인18단지,2020,아파트
11710,송파구,11300,거여동,0648,0000,8.0,2023-01-31,전세,84.73,39768,0,위례포레샤인18단지,2020,아파트
11710,송파구,11300,거여동,0648,0000,14.0,2023-01-31,전세,84.73,39768,0,위례포레샤인18단지,2020,아파트
11710,송파구,11300,거여동,0648,0000,11.0,2023-01-31,전세,84.73,39768,0,위례포레샤인18단지,2020,아파트
11710,송파구,11300,거여동,0648,0000,6.0,2023-01-31,전세,84.73,39768,0,위례포레샤인18단지,2020,아파트
11710,송파구,10900,장지동,0905,0000,6.0,2023-01-31,전세,59.66,38090,0,위례포레샤인23단지,2017,아파트
11500,강서구,10300,화곡동,0348,0016,4.0,2023-01-31,전세,25.81,37500,0,위하우스,2022,연립다세대
11500,강서구,10200,등촌동,0637,0027,12.0,2023-01-31,전세,14.64,22000,0,유원더블레스,2020,연립다세대
11470,양천구,10100,신정동,0087,0039,7.0,2023-01-31,월세,84.96,30000,108,유원목동,1990,아파트
11680,강남구,10600,대치동,0316,0000,6.0,2023-01-31,전세,76.79,45000,0,은마,1979,아파트
11350,노원구,10500,상계동,1256,0000,12.0,2023-01-31,월세,49.77,23000,10,은빛2단지,1998,아파트
11380,은평구,11400,진관동,0066,0000,6.0,2023-01-31,전세,19.84,12700,0,은평뉴타운 꿈에그린,2018,오피스텔
11380,은평구,11400,진관동,0062,0000,27.0,2023-01-31,전세,84.34,63000,0,은평스카이뷰자이,2019,아파트
11440,마포구,11400,창전동,0450,0000,14.0,2023-01-31,월세,17.15,4003,30,이랜드PEER신촌,2021,아파트
11440,마포구,11400,창전동,0450,0000,11.0,2023-01-31,월세,17.15,5337,26,이랜드PEER신촌,2021,아파트
11440,마포구,11400,창전동,0450,0000,15.0,2023-01-31,월세,17.3,5337,26,이랜드PEER신촌,2021,아파트
11440,마포구,11400,창전동,0450,0000,10.0,2023-01-31,월세,17.3,5337,26,이랜드PEER신촌,2021,아파트
11440,마포구,11400,창전동,0450,0000,11.0,2023-01-31,월세,17.3,5337,26,이랜드PEER신촌,2021,아파트
11440,마포구,11400,창전동,0450,0000,10.0,2023-01-31,월세,17.3,4003,30,이랜드PEER신촌,2021,아파트
11440,마포구,11400,창전동,0450,0000,7.0,2023-01-31,월세,17.3,4003,30,이랜드PEER신촌,2021,아파트
11440,마포구,11400,창전동,0450,0000,8.0,2023-01-31,월세,17.3,5337,26,이랜드PEER신촌,2021,아파트
11440,마포구,11400,창전동,0450,0000,13.0,2023-01-31,월세,17.3,5337,26,이랜드PEER신촌,2021,아파트
11440,마포구,11400,창전동,0450,0000,5.0,2023-01-31,월세,17.3,5337,26,이랜드PEER신촌,2021,아파트
11440,마포구,11400,창전동,0450,0000,9.0,2023-01-31,월세,17.3,5337,26,이랜드PEER신촌,2021,아파트
11440,마포구,11400,창전동,0450,0000,14.0,2023-01-31,월세,17.3,5337,26,이랜드PEER신촌,2021,아파트
11440,마포구,11400,창전동,0450,0000,3.0,2023-01-31,월세,17.3,4003,30,이랜드PEER신촌,2021,아파트
11440,마포구,11400,창전동,0450,0000,10.0,2023-01-31,월세,17.3,4670,28,이랜드PEER신촌,2021,아파트
11440,마포구,11400,창전동,0450,0000,3.0,2023-01-31,월세,17.3,5337,26,이랜드PEER신촌,2021,아파트
11440,마포구,11400,창전동,0450,0000,6.0,2023-01-31,월세,17.3,4003,30,이랜드PEER신촌,2021,아파트
11440,마포구,11400,창전동,0450,0000,16.0,2023-01-31,월세,17.3,5337,26,이랜드PEER신촌,2021,아파트
11440,마포구,11400,창전동,0450,0000,12.0,2023-01-31,월세,29.4,3713,22,이랜드PEER신촌,2021,아파트
11440,마포구,11400,창전동,0450,0000,9.0,2023-01-31,월세,29.4,3713,22,이랜드PEER신촌,2021,아파트
11230,동대문구,11000,이문동,0427,0000,6.0,2023-01-31,전세,84.98,44000,0,이문2차푸르지오,2007,아파트
11305,강북구,10400,우이동,0118,0007,1.0,2023-01-31,전세,48.75,15500,0,이산스카이빌,2011,연립다세대
11230,동대문구,10300,제기동,0252,0000,5.0,2023-01-31,월세,84.9,6000,137,이수브라운스톤,2005,아파트
11740,강동구,10900,천호동,0452,0004,10.0,2023-01-31,월세,27.06,1000,90,이안 강동 컴홈스테이,2021,오피스텔
11380,은평구,10300,불광동,0445,0224,2.0,2023-01-31,월세,20.84,12000,20,이지마루2차,2022,연립다세대
11470,양천구,10100,신정동,1321,0000,5.0,2023-01-31,전세,84.51,29120,0,이펜하우스1단지,2011,아파트
